asset,free,locked,date
VGX,0.00000000,0.00000000,2026-02-22
MBOX,0.00000000,0.00000000,2026-02-22
WAXP,0.00000000,0.00000000,2026-02-22
TRIBE,0.00000000,0.00000000,2026-02-22
GNO,0.00000000,0.00000000,2026-02-22
USDP,0.00000000,0.00000000,2026-02-22
DYDX,0.00000000,0.00000000,2026-02-22
GALA,0.00000000,0.00000000,2026-02-22
ILV,0.00000000,0.00000000,2026-02-22
YGG,0.00000000,0.00000000,2026-02-22
FIDA,0.00000000,0.00000000,2026-02-22
AGLD,0.00000000,0.00000000,2026-02-22
BETA,0.00000000,0.00000000,2026-02-22
RAD,0.00000000,0.00000000,2026-02-22
RARE,0.00000000,0.00000000,2026-02-22
SSV,0.00000000,0.00000000,2026-02-22
LAZIO,0.00000000,0.00000000,2026-02-22
MOVR,0.00000000,0.00000000,2026-02-22
CHESS,0.00000000,0.00000000,2026-02-22
DAR,0.00000000,0.00000000,2026-02-22
ACA,0.00000000,0.00000000,2026-02-22
ASTR,0.00000000,0.00000000,2026-02-22
BNX,0.00000000,0.00000000,2026-02-22
RGT,0.00000000,0.00000000,2026-02-22
CITY,0.00000000,0.00000000,2026-02-22
ENS,0.00000000,0.00000000,2026-02-22
PORTO,0.00000000,0.00000000,2026-02-22
JASMY,0.00000000,0.00000000,2026-02-22
AMP,0.00000000,0.00000000,2026-02-22
PLA,0.00000000,0.00000000,2026-02-22
PYR,0.00000000,0.00000000,2026-02-22
SANTOS,0.00000000,0.00000000,2026-02-22
RNDR,0.00000000,0.00000000,2026-02-22
ALCX,0.00000000,0.00000000,2026-02-22
MC,0.00000000,0.00000000,2026-02-22
ANY,0.00000000,0.00000000,2026-02-22
VOXEL,0.00000000,0.00000000,2026-02-22
BICO,0.00000000,0.00000000,2026-02-22
FLUX,0.00000000,0.00000000,2026-02-22
UST,0.00000000,0.00000000,2026-02-22
HIGH,0.00000000,0.00000000,2026-02-22
OOKI,0.00000000,0.00000000,2026-02-22
CVX,0.00000000,0.00000000,2026-02-22
PEOPLE,0.00000000,0.00000000,2026-02-22
SPELL,0.00000000,0.00000000,2026-02-22
JOE,0.00000000,0.00000000,2026-02-22
BDOT,0.00000000,0.00000000,2026-02-22
GLMR,0.00000000,0.00000000,2026-02-22
ACH,0.00000000,0.00000000,2026-02-22
IMX,0.00000000,0.00000000,2026-02-22
LOKA,0.00000000,0.00000000,2026-02-22
BTTC,0.0,0.0,2026-02-22
ANC,0.00000000,0.00000000,2026-02-22
API3,0.00000000,0.00000000,2026-02-22
